epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.457,0.46552,3.91027,1.20791,0.64676,0.15338,0.16898,0.16565,0.30083,2.59602,0.55325,7.5478e-05,7.5478e-05,7.5478e-05
2,234.748,0.22727,2.81755,1.01081,0.53981,0.37857,0.36539,0.35681,0.28424,2.23398,0.42822,0.000147404,0.000147404,0.000147404
3,347.611,0.18903,2.20546,0.97817,0.57576,0.50556,0.53137,0.51319,0.26615,1.70521,0.42704,0.000215584,0.000215584,0.000215584
4,460.193,0.16786,1.89501,0.96262,0.64145,0.60143,0.66716,0.66487,0.19165,1.40122,0.31219,0.000210145,0.000210145,0.000210145
5,572.647,0.15638,1.6989,0.95169,0.6754,0.67504,0.72125,0.7175,0.21863,1.27186,0.31915,0.000204527,0.000204527,0.000204527
6,684.526,0.14595,1.56831,0.94801,0.72246,0.70979,0.78402,0.7803,0.20226,1.17241,0.28843,0.000198909,0.000198909,0.000198909
7,796.351,0.13718,1.4602,0.94501,0.71875,0.69894,0.79014,0.77536,0.28611,1.08999,0.39434,0.00019329,0.00019329,0.00019329
8,908.122,0.13205,1.39955,0.94002,0.78497,0.71304,0.81333,0.8094,0.18895,0.92839,0.28444,0.000187672,0.000187672,0.000187672
9,1018.49,0.12664,1.31638,0.93296,0.82525,0.74525,0.84448,0.8358,0.22402,0.87505,0.30771,0.000182054,0.000182054,0.000182054
10,1130.93,0.11969,1.26358,0.92879,0.79852,0.74421,0.84549,0.84227,0.2043,0.93669,0.28881,0.000176436,0.000176436,0.000176436
11,1243.04,0.11922,1.22343,0.93212,0.81735,0.76568,0.85981,0.85682,0.188,0.84136,0.26301,0.000170817,0.000170817,0.000170817
12,1354.73,0.11486,1.17316,0.9264,0.89508,0.76675,0.87972,0.87788,0.17561,0.76637,0.25268,0.000165199,0.000165199,0.000165199
13,1466.24,0.11262,1.13726,0.92641,0.82483,0.79417,0.89407,0.89292,0.20157,0.76708,0.27374,0.000159581,0.000159581,0.000159581
14,1577.81,0.10931,1.10497,0.92407,0.84796,0.78761,0.88876,0.88811,0.1747,0.7095,0.23881,0.000153963,0.000153963,0.000153963
15,1689.04,0.1065,1.06659,0.92651,0.84659,0.83628,0.90685,0.90601,0.15435,0.65212,0.21992,0.000148344,0.000148344,0.000148344
16,1800.13,0.10407,1.0409,0.92149,0.81634,0.86204,0.91245,0.9106,0.17719,0.64937,0.24175,0.000142726,0.000142726,0.000142726
17,1911.7,0.09963,1.01884,0.92117,0.86739,0.83613,0.92122,0.91997,0.17374,0.61567,0.23741,0.000137108,0.000137108,0.000137108
18,2021.92,0.0995,0.99018,0.91905,0.87408,0.82776,0.91524,0.91408,0.18155,0.63747,0.24684,0.00013149,0.00013149,0.00013149
19,2131.01,0.09765,0.96285,0.91976,0.84909,0.86717,0.92962,0.92848,0.15139,0.57354,0.21082,0.000125871,0.000125871,0.000125871
20,2241.91,0.09672,0.93687,0.9159,0.91364,0.83645,0.93266,0.93205,0.15018,0.53329,0.2042,0.000120253,0.000120253,0.000120253
21,2353.86,0.09214,0.91374,0.91962,0.85387,0.8833,0.93246,0.93022,0.1771,0.55096,0.23383,0.000114635,0.000114635,0.000114635
22,2466.75,0.09181,0.88932,0.91574,0.90155,0.84012,0.93945,0.93842,0.18402,0.54727,0.25015,0.000109017,0.000109017,0.000109017
23,2579.92,0.09074,0.89004,0.91353,0.90158,0.86792,0.93692,0.93418,0.17577,0.50062,0.23392,0.000103398,0.000103398,0.000103398
24,2692.67,0.08747,0.85591,0.91613,0.89258,0.87377,0.94009,0.93899,0.14633,0.49261,0.19943,9.77803e-05,9.77803e-05,9.77803e-05
